111111111;Corine;Tomeyum;17;12.00;13.00;14.00;15.00;10.00;20.00;20.00;17.00;15.00;17.00;0
123456789;Mbassi;Blaise;20;15.00;10.00;18.00;19.00;20.00;20.00;20.00;13.00;17.00;18.00;0
163123456;Alex;Kevin;17;12.00;12.00;12.00;12.00;14.00;1.00;1.00;15.00;19.00;12.00;1
123456432;Boris;Cols;18;15.00;18.00;20.00;14.00;14.00;17.00;11.00;11.00;15.00;16.00;0
123421112;Mouafo;Flora;15;12.00;17.00;18.00;13.00;14.00;17.00;10.00;10.00;14.00;14.00;0
123451212;Col;Cel;16;12.00;11.00;11.00;10.00;15.00;19.00;16.00;16.00;19.00;1.00;1
126312312;Solange;Carole;23;14.00;16.00;18.00;11.00;11.00;11.00;11.00;11.00;12.00;12.00;0
123542312;Roland;Garos;26;12.00;14.00;16.00;19.00;10.00;13.00;15.00;17.00;11.00;12.00;0
123413211;Bobo;Willy;25;12.00;13.00;14.00;17.00;10.00;16.00;11.00;11.00;10.00;12.00;0
125431322;Calin;Zood;21;13.00;14.00;16.00;10.00;15.00;17.00;13.00;15.00;13.00;12.00;0
145876965;Manga;Lia;25;19.00;20.00;20.00;11.00;12.00;11.00;13.00;11.00;10.00;11.00;0
124367483;Alex;Armel;19;17.00;19.00;16.00;20.00;20.00;13.00;16.00;17.00;18.00;20.00;0
123432567;Armel;Loic;19;18.00;14.00;15.00;17.00;19.00;10.00;20.00;20.00;20.00;20.00;0
127248722;Clark;Kend;20;20.00;20.00;20.00;20.00;20.00;20.00;13.00;16.00;17.00;19.00;0
123765890;Alfred;Saker;18;1.00;13.00;1.00;1.00;1.00;1.00;1.00;1.00;11.00;1.00;2
134462729;Barack;Obama;27;12.00;18.00;19.00;10.00;20.00;12.00;19.00;20.00;11.00;11.00;0
125425417;Donald;Trump;34;17.00;17.00;19.00;10.00;20.00;13.00;11.00;11.00;11.00;11.00;0
115265719;Chantou;Biya;29;11.00;11.00;14.00;10.00;19.00;20.00;13.00;18.00;18.00;10.00;0
162172681;Serena;Anne;20;12.00;13.00;14.00;18.00;19.00;20.00;17.00;12.00;12.00;12.00;0
